item_key,subdimension,item_prompt,scale,dimension,factor,reverse_scored
finds_work_meaningful,purpose,I have found my work to be meaningful.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_inspired,purpose,I have felt inspired by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_sense_of_purpose,purpose,I have felt a sense of purpose at work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_fully_immersed,engagement,I have felt fully immersed in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
enjoys_work,engagement,I have enjoyed my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_motivated,engagement,I have felt motivated to do my best at work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_burned_out,burnout,I have felt burned out by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_emotionally_drained,burnout,I have felt emotionally drained by my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
dreads_going_to_work,burnout,I have dreaded going to work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
struggles_with_stress,stress,I have struggled to cope with stress.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
angers_over_inconveniences,stress,I have gotten angry over small inconveniences.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
feels_irritable,stress,I have felt irritable.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,centered,thriving,FALSE
stays_focused_throughout_the_day,focus,Throughout the day I can stay focused on what I want to accomplish without getting distracted.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
focuses_without_distraction,focus,It is easy for me to focus my attention on one thing for long periods of time.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
can_refocus_after_distraction,focus,When I get distracted it is easy for me to refocus my attention.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
finds_self_absorbed,flow,I often “get lost” in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
becomes_absorbed_by_work,flow,I often find myself completely absorbed in my work.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
loses_track_of_time,flow,When I am working intensely I lose track of time.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
acts_according_to_values,values,I always act in accordance with my values.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
finds_values_important,values,My values are very important to me.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
understands_core_values,values,I have a clear understanding of my core values.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,FALSE
thinks_about_non_current_events,mindfulness,I often find myself thinking about something other than what is happening right in front of me.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,TRUE
distracted_by_non_current_events,mindfulness,I often get distracted thinking about past or future events.,1-Strongly Disagree;2-Disagree;3-Neither Disagree nor Agree;4-Agree;5-Strongly Agree,aware,thriving,TRUE
