whole_person_model_version,assessment_subdimension_key,subdimension_category,subdimension_domain,subdimension_dimension,subdimension_name,visible_to_member,visible_to_partner,included_in_partner_360_reporting,role_visibility,subdimension_description
WPM 2.0,cognitive_agility,Behavior,Thriving,Cognitive Thriving,Cognitive Agility,TRUE,TRUE,TRUE,Members & Partners,The extent to which we adapt and shift our thought processes when beneficial.
WPM 2.0,focus,Behavior,Thriving,Cognitive Thriving,Focus,TRUE,TRUE,TRUE,Members & Partners,The extent to which we focus our thoughts on our current priorities.
WPM 2.0,strategic_planning,Behavior,Thriving,Cognitive Thriving,Strategic Planning,TRUE,TRUE,TRUE,Members & Partners,The extent to which we think through ways to achieve our future goals.
WPM 2.0,self_compassion,Behavior,Thriving,Emotional Thriving,Self-Compassion,TRUE,TRUE,TRUE,Members & Partners,The extent to which we focus on our strengths and build ourselves up.
WPM 2.0,emotional_regulation,Behavior,Thriving,Emotional Thriving,Emotional Regulation,TRUE,TRUE,TRUE,Members & Partners,The extent to which we regulate our emotions to remain calm and collected.
WPM 2.0,physical_activity,Behavior,Thriving,Physical Thriving,Physical Activity,TRUE,TRUE,FALSE,Members & Partners,The extent to which we activate ourselves by engaging in enjoyable physical activity.
WPM 2.0,nutrition,Behavior,Thriving,Physical Thriving,Nutrition,TRUE,TRUE,FALSE,Members & Partners,The extent to which we nourish ourselves with positive and healthy fuel.
WPM 2.0,rest,Behavior,Thriving,Physical Thriving,Rest,TRUE,TRUE,FALSE,Members & Partners,The extent to which we engage in restful activities to help us unwind.
WPM 2.0,social_connection,Behavior,Thriving,Social Thriving,Social Connection,TRUE,TRUE,TRUE,Members & Partners,"The extent to which we remain close and engaged with important, supportive people in our lives."
WPM 2.0,authenticity,Behavior,Thriving,Social Thriving,Authenticity,TRUE,TRUE,TRUE,Members & Partners,"The extent to which we are authentic, open, and honest in our close personal relationships."
WPM 2.0,empathy,Behavior,Thriving,Social Thriving,Empathy,TRUE,TRUE,TRUE,Members & Partners,"The extent to which we give back in our relationships by being warm, encouraging, and empathetic."
WPM 2.0,alignment,Behavior,Inspiring,Guiding Others,Alignment,TRUE,TRUE,TRUE,Members & Partners,The extent to which we guide progress by communicating goals and providing feedback.
WPM 2.0,coaching,Behavior,Inspiring,Guiding Others,Coaching,TRUE,TRUE,TRUE,Members & Partners,The extent to which we help others learn and grow at work.
