assessment_type,item_key,prompt,response_scale,html_label,item_id,item_uuid
Assessments::CareNpsAssessment,care_nps,"",nps_10,,1091,4c0b2c5d-9fbc-4077-a426-2eff16ea4275
Assessments::GroupCoachingExitAssessment,coaching_circle_nps,"In the event a friend or colleague is seeking professional development, how likely would you be to recommend coaching circles from BetterUp?",nps_10,,634,0701c238-6aa4-411c-be68-b50ccdb17825
Assessments::ManagerFeedbackAssessment,including_others,"To optimize their professional growth, would you recommend %{first_name} to focus on creating an inclusive work environment?",recommend_5,Creating an inclusive work environment,1279,195476ef-b578-4ef5-aa81-d0324239bebe
Assessments::ManagerFeedbackAssessment,motivating_others,"To optimize their professional growth, would you recommend %{first_name} to focus on motivating and inspiring others?",recommend_5,Motivating and inspiring others,1280,c004385f-ce9f-4934-9028-49b19cb7e144
Assessments::ManagerFeedbackAssessment,guiding_others,"To optimize their professional growth, would you recommend %{first_name} to focus on aligning others around a clear strategy?",recommend_5,Aligning others around a clear strategy,1281,9d271d96-654f-46d1-a3ac-2923f924ebd5
Assessments::ManagerFeedbackAssessment,social_thriving,"To optimize their professional growth, would you recommend %{first_name} to focus on building relationships and internal partnerships?",recommend_5,Building relationships and internal partnerships,1282,c233b075-ec88-4a18-8ceb-02b2d4d630a3
Assessments::ManagerFeedbackAssessment,strategic_thinking,"To optimize their professional growth, would you recommend %{first_name} to focus on strategic thinking and planning for the future?",recommend_5,Strategic thinking and planning for the future,1283,cac71744-1022-4267-b821-b96654be537a
Assessments::ManagerFeedbackAssessment,adapting,"To optimize their professional growth, would you recommend %{first_name} to focus on ability to adapt to change?",recommend_5,Ability to adapt to change,1284,fab0e104-7143-40fc-a958-ae32a78fc436
Assessments::ManagerFeedbackAssessment,executing,"To optimize their professional growth, would you recommend %{first_name} to focus on executing against objectives?",recommend_5,Executing against objectives,1285,8edab853-75cc-440b-827b-0d5de06b2cc2
Assessments::ManagerFeedbackAssessment,innovating,"To optimize their professional growth, would you recommend %{first_name} to focus on innovating products and/or processes?",recommend_5,Innovating products and/or processes,1286,41919153-be15-4733-8f2c-76165bfa4243
Assessments::ManagerGrowthAssessment,inclusive_work_environment,"How has %{first_name}’s performance changed in their ability to create an inclusive work environment?",improved_5,Creating an inclusive work environment,1388,4cec2874-9b0a-4680-800f-d6d7bf9c660e
Assessments::ManagerGrowthAssessment,motivate_and_inspire,"How has %{first_name}’s performance changed in their ability to motivate and inspire others?",improved_5,Motivating and inspiring others,1389,5e267c2a-8522-4e02-8529-08d43e318dc9
Assessments::ManagerGrowthAssessment,align_around_strategy,"How has %{first_name}’s performance changed in their ability to align others around a clear strategy?",improved_5,Aligning others around a clear strategy,1390,7975fabf-711b-4407-95e4-d4e841d23507
Assessments::ManagerGrowthAssessment,build_relationships_partnerships,"How has %{first_name}’s performance changed in their ability to build relationships and internal partnerships?",improved_5,Building relationships and internal partnerships,1391,675bf9dd-5e0b-4999-bd39-d743281c1763
Assessments::ManagerGrowthAssessment,think_strategically_about_future,"How has %{first_name}’s performance changed in their ability to think strategically about the future?",improved_5,Strategic thinking and planning for the future,1392,197497ae-defb-45fd-a325-332ce1744287
Assessments::ManagerGrowthAssessment,adapt_to_change,"How has %{first_name}’s performance changed in their ability to adapt to change?",improved_5,Ability to adapt to change,1393,1eb15b3e-288f-457e-8c96-1c7c31a03291
Assessments::ManagerGrowthAssessment,execute_against_objectives,"How has %{first_name}’s performance changed in their ability to execute against objectives?",improved_5,Executing against objectives,1394,1c76578c-6ffa-4c23-98a6-9f3eb8fcbf97
